CLIENTE;ENTREGA;FECHA;GESTIONES; PAGOS ; HONORARIOS TOTALES ;COSTO CAMPAÑA;RESULTADO GENERAL; PAGO 1 ; HONORARIOS X ACTIVACION ;RESULTADO POR ACTIVACION; CONVENIO ; HONORARIOS X PLAN ;COSTO GESTION;;
AGL;AG-001;01/02/2022;5; $ -   ; $ -   ; $ 500,00 ; $ -500,00 ; $ -   ; $ -   ; $ -500,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-001;01/03/2022;2; $ -   ; $ -   ; $ 200,00 ; $ -200,00 ; $ -   ; $ -   ; $ -200,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-001;01/04/2022;1; $ 90.000,00 ; $ 22.500,00 ; $ 100,00 ; $ 22.400,00 ; $ 90.000,00 ; $ 22.500,00 ; $ 22.400,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-001;01/05/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-001;01/06/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-002;01/02/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-002;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-002;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-002;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AG-002;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-003;01/02/2022;10; $ 29.714,00 ; $ 7.428,50 ; $ 1.000,00 ; $ 6.428,50 ; $ -   ; $ -   ; $ -1.000,00 ; $ 29.714,00 ; $ 7.428,50 ; $ 100,00 ;;
AGL;AGL-003;01/03/2022;5; $ 156.024,00 ; $ 39.006,00 ; $ 500,00 ; $ 38.506,00 ; $ -   ; $ -   ; $ -500,00 ; $ 156.024,00 ; $ 39.006,00 ; $ 100,00 ;;
AGL;AGL-003;01/04/2022;1; $ 21.414,00 ; $ 5.353,50 ; $ 100,00 ; $ 5.253,50 ; $ -   ; $ -   ; $ -100,00 ; $ 21.414,00 ; $ 5.353,50 ; $ 100,00 ;;
AGL;AGL-003;01/05/2022;1; $ 21.414,00 ; $ 5.353,50 ; $ 100,00 ; $ 5.253,50 ; $ -   ; $ -   ; $ -100,00 ; $ 21.414,00 ; $ 5.353,50 ; $ 100,00 ;;
AGL;AGL-003;01/06/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-004;01/02/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-004;01/03/2022;3; $ -   ; $ -   ; $ 300,00 ; $ -300,00 ; $ -   ; $ -   ; $ -300,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-004;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-004;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-004;01/06/2022;2; $ -   ; $ -   ; $ 200,00 ; $ -200,00 ; $ -   ; $ -   ; $ -200,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-005;01/02/2022;15; $ 25.555,56 ; $ 6.388,89 ; $ 1.500,00 ; $ 4.888,89 ; $ -   ; $ -   ; $ -1.500,00 ; $ 25.555,56 ; $ 6.388,89 ; $ 100,00 ;;
AGL;AGL-005;01/03/2022;9; $ -   ; $ -   ; $ 900,00 ; $ -900,00 ; $ -   ; $ -   ; $ -900,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-005;01/04/2022;19; $ 19.986,00 ; $ 4.996,50 ; $ 1.900,00 ; $ 3.096,50 ; $ 7.208,00 ; $ 1.802,00 ; $ -98,00 ; $ 12.778,00 ; $ 3.194,50 ; $ 100,00 ;;
AGL;AGL-005;01/05/2022;33; $ 239.194,25 ; $ 59.798,56 ; $ 3.300,00 ; $ 56.498,56 ; $ 208.104,00 ; $ 52.026,00 ; $ 48.726,00 ; $ 31.090,25 ; $ 7.772,56 ; $ 100,00 ;;
AGL;AGL-005;01/06/2022;10; $ 51.836,00 ; $ 12.959,00 ; $ 1.000,00 ; $ 11.959,00 ; $ 22.271,00 ; $ 5.567,75 ; $ 4.567,75 ; $ 29.565,00 ; $ 7.391,25 ; $ 100,00 ;;
AGL;AGL-006;01/02/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-006;01/03/2022;2; $ -   ; $ -   ; $ 200,00 ; $ -200,00 ; $ -   ; $ -   ; $ -200,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-006;01/04/2022;5; $ 49.551,00 ; $ 12.387,75 ; $ 500,00 ; $ 11.887,75 ; $ 24.775,50 ; $ 6.193,88 ; $ 5.693,88 ; $ 24.775,50 ; $ 6.193,88 ; $ 100,00 ;;
AGL;AGL-006;01/05/2022;3; $ -   ; $ -   ; $ 300,00 ; $ -300,00 ; $ -   ; $ -   ; $ -300,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-006;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-007;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-007;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-007;01/04/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-007;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-007;01/06/2022;6; $ -   ; $ -   ; $ 600,00 ; $ -600,00 ; $ -   ; $ -   ; $ -600,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-008;01/02/2022;14; $ 6.472,00 ; $ 1.618,00 ; $ 1.400,00 ; $ 218,00 ; $ 6.472,00 ; $ 1.618,00 ; $ 218,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-008;01/03/2022;8; $ 30.680,00 ; $ 7.670,00 ; $ 800,00 ; $ 6.870,00 ; $ 5.508,00 ; $ 1.377,00 ; $ 577,00 ; $ 25.172,00 ; $ 6.293,00 ; $ 100,00 ;;
AGL;AGL-008;01/04/2022;10; $ 30.516,00 ; $ 7.629,00 ; $ 1.000,00 ; $ 6.629,00 ; $ -   ; $ -   ; $ -1.000,00 ; $ 30.516,00 ; $ 7.629,00 ; $ 100,00 ;;
AGL;AGL-008;01/05/2022;6; $ 5.508,00 ; $ 1.377,00 ; $ 600,00 ; $ 777,00 ; $ -   ; $ -   ; $ -600,00 ; $ 5.508,00 ; $ 1.377,00 ; $ 100,00 ;;
AGL;AGL-008;01/06/2022;9; $ 20.327,64 ; $ 5.081,91 ; $ 900,00 ; $ 4.181,91 ; $ 14.819,64 ; $ 3.704,91 ; $ 2.804,91 ; $ 5.508,00 ; $ 1.377,00 ; $ 100,00 ;;
AGL;AGL-009;01/02/2022;3; $ -   ; $ -   ; $ 300,00 ; $ -300,00 ; $ -   ; $ -   ; $ -300,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-009;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-009;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-009;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-009;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-010;01/02/2022;5; $ -   ; $ -   ; $ 500,00 ; $ -500,00 ; $ -   ; $ -   ; $ -500,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-010;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-010;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-010;01/05/2022;2; $ -   ; $ -   ; $ 200,00 ; $ -200,00 ; $ -   ; $ -   ; $ -200,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-010;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-011;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-011;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-011;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-011;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-011;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-012;01/02/2022;6; $ -   ; $ -   ; $ 600,00 ; $ -600,00 ; $ -   ; $ -   ; $ -600,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-012;01/03/2022;3; $ 11.795,00 ; $ 2.948,75 ; $ 300,00 ; $ 2.648,75 ; $ 11.795,00 ; $ 2.948,75 ; $ 2.648,75 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-012;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-012;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-012;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-013;01/02/2022;7; $ 16.119,00 ; $ 4.029,75 ; $ 700,00 ; $ 3.329,75 ; $ -   ; $ -   ; $ -700,00 ; $ 16.119,00 ; $ 4.029,75 ; $ 100,00 ;;
AGL;AGL-013;01/03/2022;0; $ 16.200,00 ; $ 4.050,00 ; $ -   ; $ 4.050,00 ; $ -   ; $ -   ; $ -   ; $ 16.200,00 ; $ 4.050,00 ; $ 100,00 ;;
AGL;AGL-013;01/04/2022;9; $ 26.200,00 ; $ 6.550,00 ; $ 900,00 ; $ 5.650,00 ; $ 10.000,00 ; $ 2.500,00 ; $ 1.600,00 ; $ 16.200,00 ; $ 4.050,00 ; $ 100,00 ;;
AGL;AGL-013;01/05/2022;0; $ 10.000,00 ; $ 2.500,00 ; $ -   ; $ 2.500,00 ; $ -   ; $ -   ; $ -   ; $ 10.000,00 ; $ 2.500,00 ; $ 100,00 ;;
AGL;AGL-013;01/06/2022;5; $ 33.150,00 ; $ 8.287,50 ; $ 500,00 ; $ 7.787,50 ; $ -   ; $ -   ; $ -500,00 ; $ 33.150,00 ; $ 8.287,50 ; $ 100,00 ;;
AGL;AGL-014;01/02/2022;3; $ -   ; $ -   ; $ 300,00 ; $ -300,00 ; $ -   ; $ -   ; $ -300,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-014;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-014;01/04/2022;2; $ -   ; $ -   ; $ 200,00 ; $ -200,00 ; $ -   ; $ -   ; $ -200,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-014;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-014;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-015;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-015;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-015;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-015;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-015;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-016;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-016;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-016;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-016;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-016;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
